Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),IMDB Rating,Primary Actor,Movie Rating,Duration
Misery,Rob Reiner,1990,3,0.5,No,7.8,Kathy Bates,R ,107
Jacob’s Ladder,Adrian Lyne,1990,4,1,No,7.5,#N/A,R,113
Tremors,Ron Underwood,1990,16,2.5,No,7.1,Kevin Bacon,PG-13,96
Alien,Ridley Scott,1979,11,2.5,No,8.5,Sigourney Weaver,R ,117
Psycho,Alfred Hitchcock,1960,2,0.5,No,8.5,Anthony Perkins,R ,109
Aliens,James Cameron,1986,13,3,No,8.4,Sigourney Weaver,R,138
The Shining,Stanley Kubrick,1980,3,0.5,Yes,8.4,Jack Nicholson,R ,145
Flatliners,Joel Schumacher,1990,7,2,Yes,6.6,Ellen Page,PG-13,108
The Exorcist III,William Peter Blatty,1990,11,2.5,No,6.4,George C. Scott,R,109
The Silence of the Lambs,Jonathan Demme,1991,0,0,No,8.6,Jodie Foster,R ,118
Cape Fear,Martin Scorsese,1991,4,1.5,No,7.3,Robert Mitchum,NR,106
The Thing,John Carpenter,1982,7,2,No,8.2,Joel Edgerton,R ,103
The People Under the Stairs,Wes Craven,1991,13,3,No,6.4,Brandon Quintin Adams,R,102
Army of Darkness – Director Cut,Sam Raimi,1992,8,2,No,7.5,#N/A,R,81
Dead Alive,Peter Jackson,1992,3,1,No,7.5,Timothy Balme,R ,101
Bram Stoker’s Dracula,Francis Ford Coppola,1992,1,0.5,No,7.4,#N/A,R,128
Candyman,Bernard Rose,1992,16,4,No,6.6,Virginia Madsen,R,99
Alien 3,David Fincher,1992,14,2.5,No,6.4,#N/A,R,114
Jaws,Steven Spielberg,1975,4,2.5,No,8,Roy Scheider,PG ,124
Army of Darkness – Theatrical Cut,Sam Raimi,1992,9,2,No,0,#N/A,R,0
Rosemary’s Baby,Roman Polanski,1968,0,0,No,8,#N/A,R,137
Jurassic Park,Steven Spielberg,1993,9,2.5,No,8.1,Richard Attenborough,PG-13,126
The Exorcist,William Friedkin,1973,10,1.5,No,8,Linda Blair,R ,122
Malice,Harold Becker,1993,3,1,No,6.4,Alec Baldwin,R,107
Interview With the Vampire,Neil Jordan,1994,6,2,No,7.6,Tom Cruise,R ,122
Halloween,John Carpenter,1978,13,2.5,No,7.9,Malcolm McDowell,R ,109
In The Mouth Of Madness,John Carpenter,1994,10,3,No,7.2,Sam Neill,R,94
Wes Craven’s New Nightmare,Wes Craven,1994,11,2.5,No,6.4,#N/A,R,112
The Conversation,Francis Ford Coppola,1974,1,0.5,No,7.9,Gene Hackman,PG ,113
Seven,David Fincher,1995,1,0.5,No,8.6,#N/A,R,127
Evil Dead II,Sam Raimi,1987,27,4,No,7.8,#N/A,R,84
Lord of Illusions,Clive Barker,1995,15,4,No,6.1,Scott Bakula,R ,108
Species,Roger Donaldson,1995,7,3,No,5.8,Ben Kingsley,R ,108
Ringu: Kanzenban,Chisui Takigawa,1995,2,0.5,No,0,#N/A,R,0
Predator,John McTiernan,1987,7,2,No,7.8,Arnold Schwarzenegger,R ,107
Thesis,Alejandro Amenábar,1996,3,0.5,No,7.4,Eduardo Noriega,R,125
Scream,Wes Craven,1996,19,3.5,No,7.2,David Arquette,R,111
The Craft,Andrew Fleming,1996,4,1,No,6.2,Robin Tunney,R ,101
Wait Until Dark,Terence Young,1967,1,0.5,No,7.8,Audrey Hepburn,NR,108
Eyes Without a Face,Georges Franju,1960,1,0.5,No,7.7,Pierre Brasseur,NR,84
Cube,Vincenzo Natali,1997,1,0.5,No,7.3,Nicole de Boer,R ,90
Hour of the Wolf,Ingmar Bergman,1968,1,0.5,No,7.7,#N/A,R,90
Kuroneko,Kaneto Shindō,1968,1,0.5,No,7.7,#N/A,R,99
Repulsion,Roman Polanski,1965,7,2.5,No,7.7,Catherine Deneuve,NR,104
Event Horizon,Paul W.S. Anderson,1997,11,3,No,6.7,Laurence Fishburne,R ,95
Funny Games,Michael Haneke,1997,1,0.5,No,6.5,Susanne Lothar,NR,108
Alien: Resurrection,Jean-Pierre Jeunet,1997,9,3,No,6.3,#N/A,R,109
Scream 2,Wes Craven,1997,19,4,No,6.1,Neve Campbell,R,120
I Know What You Did Last Summer,Jim Gillespie,1997,13,3.5,Yes,5.6,Jennifer Love Hewitt,R ,101
An American Werewolf in Paris,Anthony Waller,1997,11,2.5,No,5.1,#N/A,R,105
Deep Red,Dario Argento,1975,7,1.5,No,7.6,#N/A,R,127
Anaconda,Luis Llosa,1997,9,2,No,4.6,Jennifer Lopez,PG-13,89
Blade,Stephen Norrington,1998,1,1,No,7.1,Wesley Snipes,R ,121
The Abyss,James Cameron,1989,2,0.5,No,7.6,#N/A,R,171
The Evil Dead,Sam Raimi,1981,22,4,No,7.6,Bruce Campbell,R ,85
The Fly,David Cronenberg,1986,2,0.5,No,7.6,Patricia Owens,NR,94
The Faculty,Robert Rodriguez,1998,11,3,No,6.4,Jordana Brewster,R ,104
The Omen,Richard Donner,1976,1,0.5,No,7.6,Gregory Peck,R,111
Sphere,Barry Levinson,1998,4,1,Yes,6,Dustin Hoffman,PG-13,152
Halloween H20: 20 Years Later,Steve Miner,1998,16,3.5,No,5.8,#N/A,R,86
Urban Legend,Jamie Blanks,1998,17,4,No,5.5,Alicia Witt,R ,100
A Nightmare on Elm Street,Wes Craven,1984,11,2.5,No,7.5,Rooney Mara,R ,96
Bride of Chucky,Ronny Yu,1998,11,2,No,5.3,Jennifer Tilly,R ,89
An American Werewolf in London,John Landis,1981,14,3,No,7.5,David Naughton,R,97
The Last Broadcast,"Stefan Avalos, Lance Weiler",1998,1,0.5,No,5.3,#N/A,R,86
Ring,Hideo Nakata,1998,5,2,No,0,#N/A,R,0
Spiral,George Iida,1998,1,0.5,No,0,Joel David Moore,PG-13,90
The Sixth Sense,M. Night Shyamalan,1999,8,1.5,Yes,8.1,Haley Joel Osment,PG-13,105
Sleepy Hollow,Tim Burton,1999,1,0.5,No,7.5,Johnny Depp,R ,105
Audition,Takashi Miike,1999,1,0.5,No,7.2,#N/A,R,115
Ravenous,Antonia Bird,1999,4,1,No,7.1,Guy Pearce,R ,100
The Texas Chain Saw Massacre,Tobe Hooper,1974,2,1,No,7.5,#N/A,R,83
Stir of Echoes,David Koepp,1999,9,3,No,7,Kevin Bacon,R ,99
The Wicker Man,Robin Hardy,1973,4,0.5,No,7.5,Nicolas Cage,PG-13,106
The Ninth Gate,Roman Polanski,1999,0,0,No,6.7,Johnny Depp,R ,133
The Blair Witch Project,Daniel Myrick & Eduardo Sánchez,1999,0,0,No,6.4,Heather Donahue,R ,84
Idle Hands,Rodman Flender,1999,10,3,No,6.2,Devon Sawa,R,92
The Ring Virus,Kim Dong-bin,1999,3,0.5,No,6.1,#N/A,R,108
Eraserhead,David Lynch,1977,2,0.5,No,7.4,Jack Nance,R,89
Invasion of the Body Snatchers,Philip Kaufman,1978,4,1,No,7.4,Kevin McCarthy,PG,80
Poltergeist,Tobe Hooper,1982,9,1,Yes,7.4,Sam Rockwell,PG-13,93
Ringu 2,Hideo Nakata,1999,1,0.5,No,6,#N/A,R,95
